Flemish Ale ECY02                            ,East Coast Yeast        ,ECY02                                   ,Ale               ,Low      ,0.8  ,60  ,74
Kellerbier                                   ,East Coast Yeast        ,ECY28                                   ,Lagers            ,Medium   ,0.75 ,46  ,54
Kölschbier ECY21                             ,East Coast Yeast        ,ECY21                                   ,Ale               ,High     ,0.77 ,58  ,66
Munich Festbier ECY15                        ,East Coast Yeast        ,ECY15                                   ,Lager             ,Medium   ,0.75 ,46  ,54
Northeast Ale ECY29                          ,East Coast Yeast        ,ECY29                                   ,Ale               ,High     ,0.81 ,65  ,70
Old Newark Ale ECY10                         ,East Coast Yeast        ,ECY10                                   ,Ale               ,High     ,0.72 ,60  ,68
Old Newark Beer ECY12                        ,East Coast Yeast        ,ECY12                                   ,Ale               ,Medium   ,0.72 ,58  ,68
Oud Brune ECY23                              ,East Coast Yeast        ,ECY23                                   ,Ale               ,Low      ,0.77 ,68  ,74
Saison Brasserie ECY08                       ,East Coast Yeast        ,ECY08                                   ,Ale               ,Medium   ,0.8  ,75  ,85
Saison Single ECY14                          ,East Coast Yeast        ,ECY14                                   ,Ale               ,Medium   ,0.77 ,75  ,82
Scottish Heavy ECY07                         ,East Coast Yeast        ,ECY07                                   ,Ale               ,Medium   ,0.78 ,60  ,68
Senne Valley                                 ,East Coast Yeast        ,ECY31                                   ,Wilds & Sours     ,High     ,0.85 ,65  ,78
Trappist Ale ECY13                           ,East Coast Yeast        ,ECY13                                   ,Ale               ,Medium   ,0.75 ,66  ,72
American Ale                                 ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.74 ,60.8,72
Anchorman Ale                                ,Escarpment Labs         ,                                        ,Ale               ,High     ,0.775,65  ,68
Ardennes Belgian Ale                         ,Escarpment Labs         ,                                        ,Ale               ,Med/High ,0.76 ,65  ,76
Årset Kveik Blend                            ,Escarpment Labs         ,                                        ,Ales              ,High     ,0.75 ,68  ,98.6
Belgian Sour Blend                           ,Escarpment Labs         ,                                        ,Ales              ,Low      ,0    ,70  ,90
Berliner Brett I                             ,Escarpment Labs         ,Berliner Brett I                        ,Wilds & Sours     ,Medium   ,0    ,64.4,75.2
Biergarten Lager                             ,Escarpment Labs         ,                                        ,Lagers            ,Medium   ,0.73 ,48.2,55.4
Brett B                                      ,Escarpment Labs         ,                                        ,Ale               ,Low      ,0.775,80  ,80
Brett D                                      ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.8  ,71.6,77
Brett Q                                      ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.8  ,68  ,77
Brussels Brett                               ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.8  ,71.6,77
Cali Ale                                     ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.8  ,65  ,72
Cali Common Lager                            ,Escarpment Labs         ,                                        ,Lager             ,Medium   ,0.675,57.2,64.4
Cerberus                                     ,Escarpment Labs         ,                                        ,Ales              ,Low      ,0.75 ,71.6,82.4
Classic Witbier                              ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.75 ,66.2,75.2
Copenhagen Lager                             ,Escarpment Labs         ,                                        ,Lager             ,Low/Med  ,0.74 ,46.4,55.4
Czech Lager                                  ,Escarpment Labs         ,                                        ,Lager             ,Medium   ,0.74 ,48.2,55.4
Dry Belgian Ale                              ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.85 ,72  ,79
Ebbegarden Kveik Blend                       ,Escarpment Labs         ,                                        ,Ales              ,Medium   ,0.75 ,71.6,98.6
Ebbegarden Kveik Blend                       ,Escarpment Labs         ,                                        ,Ales              ,Medium   ,0.75 ,68  ,98.6
English Ale I                                ,Escarpment Labs         ,                                        ,Ale               ,Very High,0.67 ,65  ,69
English Ale II                               ,Escarpment Labs         ,                                        ,Ale               ,Med/High ,0.76 ,65  ,72
Foggy London Ale                             ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.745,64.4,73.4
Fruit Bomb Saison                            ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.8  ,72  ,81
Fruity Witbier                               ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.725,62.6,75.2
Hornindal Kveik Blend                        ,Escarpment Labs         ,                                        ,Ale               ,Med/High ,0.75 ,77  ,95
Irish Ale                                    ,Escarpment Labs         ,                                        ,Ale               ,Med/High ,0.725,64.4,71.6
